case_id,record_id,person_id,from_account,to_account,device_id,vehicle_context,event_id,timestamp,amount,currency,synthetic,source,disposition
case-operation-copper,SYN-TXN-COP-0001,SYN-PER-COP-01,SYN-ACC-COP-01,SYN-ACC-COP-02,SYN-PHONE-COP-01,SYN-VEH-NF-1001,SYN-EVENT-COP-01,2031-02-01T00:00:05Z,36.25,SYN,true,offline_authored_fixture,review_required
case-operation-copper,SYN-TXN-COP-0002,SYN-PER-COP-02,SYN-ACC-COP-02,SYN-ACC-COP-03,SYN-PHONE-COP-02,SYN-VEH-COP-02,SYN-EVENT-COP-02,2031-02-01T00:15:05Z,37.25,SYN,true,offline_authored_fixture,review_required
case-operation-copper,SYN-TXN-COP-0003,SYN-PER-COP-03,SYN-ACC-COP-03,SYN-ACC-COP-04,SYN-PHONE-COP-03,SYN-VEH-COP-03,SYN-EVENT-COP-03,2031-02-01T00:30:05Z,38.25,SYN,true,offline_authored_fixture,review_required
case-operation-copper,SYN-TXN-COP-0004,SYN-PER-COP-04,SYN-ACC-COP-04,SYN-ACC-COP-05,SYN-PHONE-COP-04,SYN-VEH-COP-04,SYN-EVENT-COP-04,2031-02-01T00:45:05Z,39.25,SYN,true,offline_authored_fixture,review_required
case-operation-copper,SYN-TXN-COP-0005,SYN-PER-COP-05,SYN-ACC-COP-05,SYN-ACC-COP-01,SYN-PHONE-COP-05,SYN-VEH-COP-05,SYN-EVENT-COP-05,2031-02-01T01:00:05Z,40.25,SYN,true,offline_authored_fixture,review_required
case-operation-copper,SYN-TXN-COP-0006,SYN-PER-COP-06,SYN-ACC-COP-01,SYN-ACC-COP-02,SYN-PHONE-COP-06,SYN-VEH-NF-1001,SYN-EVENT-COP-06,2031-02-01T01:15:05Z,41.25,SYN,true,offline_authored_fixture,review_required
case-operation-copper,SYN-TXN-COP-0007,SYN-PER-COP-07,SYN-ACC-COP-02,SYN-ACC-COP-03,SYN-PHONE-COP-01,SYN-VEH-COP-02,SYN-EVENT-COP-07,2031-02-01T01:30:05Z,42.25,SYN,true,offline_authored_fixture,review_required
case-operation-copper,SYN-TXN-COP-0008,SYN-PER-COP-08,SYN-ACC-COP-03,SYN-ACC-COP-04,SYN-PHONE-COP-02,SYN-VEH-COP-03,SYN-EVENT-COP-08,2031-02-01T01:45:05Z,43.25,SYN,true,offline_authored_fixture,review_required
case-operation-copper,SYN-TXN-COP-0009,SYN-PER-COP-01,SYN-ACC-COP-04,SYN-ACC-COP-05,SYN-PHONE-COP-03,SYN-VEH-COP-04,SYN-EVENT-COP-09,2031-02-01T02:00:05Z,44.25,SYN,true,offline_authored_fixture,review_required
case-operation-copper,SYN-TXN-COP-0010,SYN-PER-COP-02,SYN-ACC-COP-05,SYN-ACC-COP-01,SYN-PHONE-COP-04,SYN-VEH-COP-05,SYN-EVENT-COP-10,2031-02-01T02:15:05Z,45.25,SYN,true,offline_authored_fixture,review_required
case-operation-copper,SYN-TXN-COP-0011,SYN-PER-COP-03,SYN-ACC-COP-01,SYN-ACC-COP-02,SYN-PHONE-COP-05,SYN-VEH-NF-1001,SYN-EVENT-COP-01,2031-02-01T00:01:05Z,46.25,SYN,true,offline_authored_fixture,review_required
case-operation-copper,SYN-TXN-COP-0012,SYN-PER-COP-04,SYN-ACC-COP-02,SYN-ACC-COP-03,SYN-PHONE-COP-06,SYN-VEH-COP-02,SYN-EVENT-COP-02,2031-02-01T00:16:05Z,47.25,SYN,true,offline_authored_fixture,review_required
