case_id,record_id,person_id,source_id,target_id,vehicle_context,location_id,event_id,timestamp,duration_seconds,synthetic,source,disposition
case-operation-echo,SYN-CDR-ECHO-0001,SYN-PER-ECHO-01,SYN-PHONE-ECHO-01,SYN-PHONE-ECHO-02,SYN-VEH-ECHO-01,SYN-LOC-ECHO-01,SYN-EVENT-ECHO-01,2031-03-01T00:00:00Z,18,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0002,SYN-PER-ECHO-02,SYN-PHONE-ECHO-02,SYN-PHONE-ECHO-03,SYN-VEH-ECHO-02,SYN-LOC-ECHO-02,SYN-EVENT-ECHO-02,2031-03-01T00:15:00Z,19,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0003,SYN-PER-ECHO-03,SYN-PHONE-ECHO-03,SYN-PHONE-ECHO-04,SYN-VEH-ECHO-03,SYN-LOC-ECHO-03,SYN-EVENT-ECHO-03,2031-03-01T00:30:00Z,20,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0004,SYN-PER-ECHO-04,SYN-PHONE-ECHO-04,SYN-PHONE-ECHO-05,SYN-VEH-ECHO-04,SYN-LOC-ECHO-01,SYN-EVENT-ECHO-04,2031-03-01T00:45:00Z,21,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0005,SYN-PER-ECHO-05,SYN-PHONE-ECHO-05,SYN-PHONE-ECHO-06,SYN-VEH-ECHO-05,SYN-LOC-ECHO-02,SYN-EVENT-ECHO-05,2031-03-01T01:00:00Z,22,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0006,SYN-PER-ECHO-06,SYN-PHONE-ECHO-06,SYN-PHONE-ECHO-01,SYN-VEH-ECHO-01,SYN-LOC-ECHO-03,SYN-EVENT-ECHO-06,2031-03-01T01:15:00Z,23,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0007,SYN-PER-ECHO-07,SYN-PHONE-ECHO-01,SYN-PHONE-ECHO-02,SYN-VEH-ECHO-02,SYN-LOC-ECHO-01,SYN-EVENT-ECHO-07,2031-03-01T01:30:00Z,24,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0008,SYN-PER-ECHO-08,SYN-PHONE-ECHO-02,SYN-PHONE-ECHO-03,SYN-VEH-ECHO-03,SYN-LOC-ECHO-02,SYN-EVENT-ECHO-08,2031-03-01T01:45:00Z,25,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0009,SYN-PER-ECHO-01,SYN-PHONE-ECHO-03,SYN-PHONE-ECHO-04,SYN-VEH-ECHO-04,SYN-LOC-ECHO-03,SYN-EVENT-ECHO-09,2031-03-01T02:00:00Z,26,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0010,SYN-PER-ECHO-02,SYN-PHONE-ECHO-04,SYN-PHONE-ECHO-05,SYN-VEH-ECHO-05,SYN-LOC-ECHO-01,SYN-EVENT-ECHO-10,2031-03-01T02:15:00Z,27,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0011,SYN-PER-ECHO-03,SYN-PHONE-ECHO-05,SYN-PHONE-ECHO-06,SYN-VEH-ECHO-01,SYN-LOC-ECHO-02,SYN-EVENT-ECHO-01,2031-03-01T00:01:00Z,28,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0012,SYN-PER-ECHO-04,SYN-PHONE-ECHO-06,SYN-PHONE-ECHO-01,SYN-VEH-ECHO-02,SYN-LOC-ECHO-03,SYN-EVENT-ECHO-02,2031-03-01T00:16:00Z,29,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0013,SYN-PER-ECHO-05,SYN-PHONE-ECHO-01,SYN-PHONE-ECHO-02,SYN-VEH-ECHO-03,SYN-LOC-ECHO-01,SYN-EVENT-ECHO-03,2031-03-01T00:31:00Z,30,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0014,SYN-PER-ECHO-06,SYN-PHONE-ECHO-02,SYN-PHONE-ECHO-03,SYN-VEH-ECHO-04,SYN-LOC-ECHO-02,SYN-EVENT-ECHO-04,2031-03-01T00:46:00Z,31,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0015,SYN-PER-ECHO-07,SYN-PHONE-ECHO-03,SYN-PHONE-ECHO-04,SYN-VEH-ECHO-05,SYN-LOC-ECHO-03,SYN-EVENT-ECHO-05,2031-03-01T01:01:00Z,32,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0016,SYN-PER-ECHO-08,SYN-PHONE-ECHO-04,SYN-PHONE-ECHO-05,SYN-VEH-ECHO-01,SYN-LOC-ECHO-01,SYN-EVENT-ECHO-06,2031-03-01T01:16:00Z,33,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0017,SYN-PER-ECHO-01,SYN-PHONE-ECHO-05,SYN-PHONE-ECHO-06,SYN-VEH-ECHO-02,SYN-LOC-ECHO-02,SYN-EVENT-ECHO-07,2031-03-01T01:31:00Z,34,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0018,SYN-PER-ECHO-02,SYN-PHONE-ECHO-06,SYN-PHONE-ECHO-01,SYN-VEH-ECHO-03,SYN-LOC-ECHO-03,SYN-EVENT-ECHO-08,2031-03-01T01:46:00Z,35,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0019,SYN-PER-ECHO-03,SYN-PHONE-ECHO-01,SYN-PHONE-ECHO-02,SYN-VEH-ECHO-04,SYN-LOC-ECHO-01,SYN-EVENT-ECHO-09,2031-03-01T02:01:00Z,36,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0020,SYN-PER-ECHO-04,SYN-PHONE-ECHO-02,SYN-PHONE-ECHO-03,SYN-VEH-ECHO-05,SYN-LOC-ECHO-02,SYN-EVENT-ECHO-10,2031-03-01T02:16:00Z,37,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0021,SYN-PER-ECHO-05,SYN-PHONE-ECHO-03,SYN-PHONE-ECHO-04,SYN-VEH-ECHO-01,SYN-LOC-ECHO-03,SYN-EVENT-ECHO-01,2031-03-01T00:02:00Z,38,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0022,SYN-PER-ECHO-06,SYN-PHONE-ECHO-04,SYN-PHONE-ECHO-05,SYN-VEH-ECHO-02,SYN-LOC-ECHO-01,SYN-EVENT-ECHO-02,2031-03-01T00:17:00Z,39,true,offline_authored_fixture,review_required
case-operation-echo,SYN-CDR-ECHO-0023,SYN-PER-ECHO-07,SYN-PHONE-ECHO-05,SYN-PHONE-ECHO-06,SYN-VEH-ECHO-03,SYN-LOC-ECHO-02,SYN-EVENT-ECHO-03,2031-03-01T00:32:00Z,40,true,offline_authored_fixture,review_required
